店舗CD,店舗,グループCD,グループ,9時迄売上高,10時迄売上高,11時迄売上高,12時迄売上高,13時迄売上高,14時迄売上高,15時迄売上高,16時迄売上高,17時迄売上高
0000002160,イオン亀田, ,イオン亀田計,30.0,61.0,138.0,240.0,323.0,387.0,464.0,565.0,726.0
"","",211,グロサリー,13.0,24.0,57.0,101.0,129.0,154.0,183.0,223.0,290.0
"","",214,リカー,6.0,14.0,24.0,34.0,52.0,62.0,75.0,95.0,127.0
"","",221,デイリーフーズ,10.0,23.0,58.0,106.0,142.0,171.0,206.0,248.0,309.0
0000002190,木曽福島, ,木曽福島計,23.0,63.0,151.0,264.0,374.0,483.0,587.0,724.0,831.0
"","",211,グロサリー,11.0,28.0,64.0,117.0,166.0,222.0,265.0,320.0,371.0
"","",214,リカー,4.0,16.0,33.0,44.0,57.0,68.0,84.0,119.0,136.0
"","",221,デイリーフーズ,8.0,18.0,54.0,103.0,150.0,193.0,238.0,285.0,325.0
0000002360,上田, ,上田計,22.0,94.0,236.0,383.0,559.0,737.0,967.0,1122.0,1330.0
"","",211,グロサリー,12.0,48.0,127.0,209.0,315.0,422.0,558.0,641.0,747.0
"","",214,リカー,1.0,9.0,23.0,34.0,45.0,56.0,69.0,81.0,104.0
"","",221,デイリーフーズ,10.0,37.0,87.0,140.0,199.0,259.0,339.0,400.0,479.0
0000002540,イオン笹口, ,イオン笹口計,32.0,73.0,133.0,208.0,306.0,382.0,457.0,547.0,688.0
"","",211,グロサリー,19.0,37.0,61.0,91.0,147.0,176.0,208.0,252.0,307.0
"","",214,リカー,4.0,12.0,21.0,34.0,40.0,51.0,64.0,73.0,92.0
"","",221,デイリーフーズ,10.0,24.0,51.0,83.0,119.0,155.0,184.0,223.0,289.0
0000003050,イオン山二ツ, ,イオン山二ツ計,18.0,52.0,128.0,193.0,249.0,302.0,384.0,462.0,548.0
"","",211,グロサリー,7.0,22.0,52.0,75.0,96.0,121.0,151.0,180.0,213.0
"","",214,リカー,2.0,8.0,23.0,29.0,40.0,47.0,60.0,84.0,98.0
"","",221,デイリーフーズ,8.0,22.0,54.0,89.0,113.0,134.0,173.0,198.0,237.0
0000003290,イオン上木戸, ,イオン上木戸計,35.0,84.0,178.0,282.0,344.0,397.0,465.0,542.0,642.0
"","",211,グロサリー,10.0,27.0,54.0,99.0,123.0,146.0,173.0,210.0,246.0
"","",214,リカー,14.0,27.0,49.0,71.0,85.0,89.0,98.0,107.0,130.0
